id,administratie_id,user_id,soort,datum,naam,omschrijving,bedrag_excl,btw_bedrag,bedrag_incl,btw_pct,bron,extra,aangemaakt,bestand_pad,betaald,betaald_datum
03a37073-9467-45e2-ac4b-b8f5d04d3fa9,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-01-16,Vodafone Libertel B.V.,Vodafone abonnement januari 2026,27.78,5.83,33.61,21,factuur_Januari 2026.pdf,{},2026-07-28 09:19:25.13828+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785230365531_factuur_Januari_2026.pdf,true,2026-07-30
090325e0-09e2-43bd-9c30-0efa2eb13c25,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-02-16,Vodafone Libertel B.V.,Mobiel abonnement februari 2026,27.78,5.83,33.61,21,factuur_Februari 2026.pdf,{},2026-07-28 09:20:36.896732+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785230437686_factuur_Februari_2026.pdf,true,2026-07-30
0f1e4678-6526-4535-b029-c3eb78f99b1b,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-04-24,"Anthropic, PBC","Claude Pro Apr 24–May 24, 2026",18.00,0.00,18.00,0,Invoice-TO4FPYPZ-0001 Claude.pdf,{},2026-07-28 10:24:35.085815+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785234274573_Invoice-TO4FPYPZ-0001_Claude.pdf,true,2026-07-30
1b554532-7c85-48d4-ac29-1746410983b6,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-06-07,"Anthropic, PBC",One-time credit purchase,20.00,4.20,24.20,21,Invoice-T38I8NLA-0002 Claude.pdf,{},2026-07-28 09:31:24.959695+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785231085780_Invoice-T38I8NLA-0002_Claude.pdf,true,2026-07-30
1fa64ae6-22ca-47c6-b44d-1ee4f2a7efe4,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-05-18,Wellink Auto Care,Onderhoudsbeurt Mercedes Benz C180,239.96,50.39,290.35,21,Factuur Wellink 26000476 1862026 -Autokosten Betaald 1862026.pdf,{},2026-07-28 09:30:03.893484+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785231004721_Factuur_Wellink_26000476_1862026_-Autokosten_Betaald_1862026.pdf,true,2026-07-30
24707e5e-9671-4fad-9e21-e113bb7b08ad,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-01-14,Jumbo Foodmarkt,Boodschappen Jumbo Foodmarkt Amsterdam,44.84,4.04,48.88,9,Lunch Chateau 14-1-2026.pdf,{},2026-07-28 09:18:37.099248+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785230317858_Lunch_Chateau_14-1-2026.pdf,true,2026-07-30
291f0571-faea-4e9e-b422-0d647cca70c7,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2025-09-02,Adobe Systems Software Ireland Ltd,Adobe Photoshop Elements 2025,83.18,0.00,83.18,0,Adobe_Transaction_No_3205900808_20250902.pdf,{},2026-07-30 13:22:52.582353+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785417772141_Adobe_Transaction_No_3205900808_20250902.pdf,false,
3f85dc2c-7b70-4bdd-b6f3-128e82e952b3,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-06-24,"Anthropic, PBC",One-time credit purchase,20.00,4.20,24.20,21,Invoice-T38I8NLA-0008.pdf,{},2026-07-28 10:23:14.91205+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785234194671_Invoice-T38I8NLA-0008.pdf,true,2026-07-30
45e72015-9f87-48f6-930b-2260041905c1,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-06-25,"Anthropic, PBC",One-time credit purchase,5.00,1.05,6.05,21,Invoice-T38I8NLA-0010.pdf,{},2026-07-28 10:23:46.828905+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785234226600_Invoice-T38I8NLA-0010.pdf,true,2026-07-30
46474f66-804a-44ca-b759-7aa5901c2154,de0e7167-0851-4d98-95ac-9c498b11832d,883cf1f3-e833-47b4-9e42-f3c225656b62,omzet,2026-07-27,Piet Hein,,6480.00,1360.80,7840.80,21,Factuur Schröder Business Consult 06-2026 - 120626 - Amsterdam Winery BV.pdf,{},2026-07-27 17:58:31.107128+00,883cf1f3-e833-47b4-9e42-f3c225656b62/de0e7167-0851-4d98-95ac-9c498b11832d/1785175109410_Factuur_Schr_der_Business_Consult_06-2026_-_120626_-_Amsterdam_Winery_BV.pdf,false,
4b4a0c02-cd6c-4532-b417-b0b224716ed1,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-05-21,Delissen Martens advocaten en belastingadviseurs B.V.,Juridische diensten Schröder Business Consult/Chateau Amsterdam april 2026,2775.00,582.75,3357.75,21,Declaratie 26004401 - Schröder Business Consult.pdf,{},2026-07-28 09:22:21.180125+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785230541302_Declaratie_26004401_-_Schr_der_Business_Consult.pdf,true,2026-07-30
514360f2-1db5-4a3c-9be5-6eae3fd09b3f,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-06-22,"Anthropic, PBC",One-time credit purchase,20.00,4.20,24.20,21,Invoice-T38I8NLA-0004 Claude.pdf,{},2026-07-28 10:21:38.446224+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785234097362_Invoice-T38I8NLA-0004_Claude.pdf,true,2026-07-30
54e38af3-046b-4b54-9533-105fa26fe964,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-06-02,SCHRÖDER BUSINESS CONSULT,ChatGPT Plus Subscription,7.85,1.65,9.50,21,Factuur_ChatGPTPlus_Schroder_Business_Consult.pdf,{},2026-07-28 09:30:18.632011+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785231019581_Factuur_ChatGPTPlus_Schroder_Business_Consult.pdf,true,2026-07-30
5898d9d9-cb91-48cf-9881-acb61ad589e3,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-06-23,"Anthropic, PBC",Auto-recharge credits,10.05,2.11,12.16,21,Invoice-T38I8NLA-0006 Claude.pdf,{},2026-07-28 10:22:59.963457+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785234179711_Invoice-T38I8NLA-0006_Claude.pdf,true,2026-07-30
5f5bc205-4913-4075-b052-8c564ea9e8e6,da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b,53eeb383-ebb4-409d-9ca3-1175222fad19,kosten,2026-06-25,"Anthropic, PBC",One-time credit purchase,20.00,4.20,24.20,21,Invoice-T38I8NLA-0011.pdf,{},2026-07-28 10:23:58.174568+00,53eeb383-ebb4-409d-9ca3-1175222fad19/da00ae9b-2af8-4a6c-bfeb-a195e2d13d7b/1785234237954_Invoice-T38I8NLA-0011.pdf,true,2026-07-30
