id,klant_id,app_id,soort,bron,bundel_id,toelichting,op,kosten_eur,tokens_in,tokens_uit,zoekopdrachten,duur_ms
1,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,maandtegoed,,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-24 11:16:09.240098+00,,,,,
2,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,maandtegoed,,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-24 11:17:59.80022+00,,,,,
3,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,maandtegoed,,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-24 11:21:07.171032+00,,,,,
4,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,maandtegoed,,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-24 11:41:41.407979+00,,,,,
5,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,maandtegoed,,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-24 12:18:08.606622+00,,,,,
6,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,maandtegoed,,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-24 12:25:06.263338+00,,,,,
7,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,maandtegoed,,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-24 12:40:08.852237+00,,,,,
8,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,maandtegoed,,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-24 12:49:51.278365+00,,,,,
9,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,maandtegoed,,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-24 12:57:26.861252+00,,,,,
10,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,bundel,80f52fb2-9c14-4ec0-af9d-5934434ae706,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-24 16:18:45.643491+00,0.22810,58638,2138,4,45529
11,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,bundel,80f52fb2-9c14-4ec0-af9d-5934434ae706,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-24 16:34:28.915319+00,0.34660,96156,2551,5,52824
12,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,bundel,80f52fb2-9c14-4ec0-af9d-5934434ae706,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-25 09:32:31.935212+00,0.34210,94365,2580,5,53992
13,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,bundel,80f52fb2-9c14-4ec0-af9d-5934434ae706,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-26 16:27:17.869243+00,0.34740,96250,2589,5,53748
14,f94bcbb7-3c38-4f43-ad2b-211b7e005781,job-radar,scan,maandtegoed,,"Commercial Director,Business Development Director,Head of Sales,Key Account Director,Key account manager,Sales Manager E",2026-07-30 07:04:20.531854+00,0.31500,85452,2404,5,54124
15,f94bcbb7-3c38-4f43-ad2b-211b7e005781,job-radar,scan,maandtegoed,,"Commercial Director,Business Development Director,Head of Sales,Key Account Director,Key account manager,Sales Manager E",2026-07-30 08:04:42.96848+00,0.29930,79586,2440,5,58787
16,8f28e64b-9eff-4dbf-aaa8-e053778badaa,job-radar,scan,bundel,80f52fb2-9c14-4ec0-af9d-5934434ae706,"CCO,CEO,Interim CCO,Interim Commercieel Directeur,Commercial Director,Interim General Manager,Head of Sales,Business Dev",2026-07-31 15:21:09.668377+00,0.26050,64980,2544,5,49754
